"text,label"
"hi,GREETING"
"hello,GREETING"
"hey,GREETING"
"hey there,GREETING"
"hii,GREETING"
"helo,GREETING"
"are you there,GREETING"
"anyone there,GREETING"
"hello hello,GREETING"
"yo,GREETING"
"good morning,GREETING"
"good evening,GREETING"
"good afternoon,GREETING"
"hi bot,GREETING"
"hey bot,GREETING"
"hello friend,GREETING"
"hey buddy,GREETING"
"hi can you help,GREETING"
"excuse me,GREETING"
"listen,GREETING"
"ok,GREETING"
"okay,GREETING"
"hmm,GREETING"
"yes,GREETING"
"yeah,GREETING"
"alright,GREETING"
"start,GREETING"
"begin,GREETING"
"hey listen,GREETING"
"hello please,GREETING"
"add paneer,ADD_ITEM"
"add 1 paneer,ADD_ITEM"
"add two paneer,ADD_ITEM"
"add paneer please,ADD_ITEM"
"add paneer to cart,ADD_ITEM"
"add butter naan,ADD_ITEM"
"add 2 butter naan,ADD_ITEM"
"add one butter naan,ADD_ITEM"
"add dosa,ADD_ITEM"
"add 3 dosa,ADD_ITEM"
"add masala dosa,ADD_ITEM"
"add plain dosa,ADD_ITEM"
"add veg biryani,ADD_ITEM"
"add one veg biryani,ADD_ITEM"
"add biryani please,ADD_ITEM"
"add food,ADD_ITEM"
"add item,ADD_ITEM"
"add this item,ADD_ITEM"
"add something,ADD_ITEM"
"add another item,ADD_ITEM"
"i want paneer,ADD_ITEM"
"i want butter naan,ADD_ITEM"
"i want to order dosa,ADD_ITEM"
"i want veg biryani,ADD_ITEM"
"i want food,ADD_ITEM"
"i want something to eat,ADD_ITEM"
"i would like paneer tikka,ADD_ITEM"
"i would like to order naan,ADD_ITEM"
"can you add paneer,ADD_ITEM"
"can you add 2 dosa,ADD_ITEM"
"can you add one item,ADD_ITEM"
"please add butter naan,ADD_ITEM"
"please add food,ADD_ITEM"
"order paneer,ADD_ITEM"
"order dosa,ADD_ITEM"
"order 2 dosa,ADD_ITEM"
"order veg biryani now,ADD_ITEM"
"place order for paneer,ADD_ITEM"
"get me dosa,ADD_ITEM"
"get me 2 dosa,ADD_ITEM"
"bring butter naan,ADD_ITEM"
"give me paneer tikka,ADD_ITEM"
"add paner,ADD_ITEM"
"add dosaa,ADD_ITEM"
"add piza,ADD_ITEM"
"add naan plz,ADD_ITEM"
"remove paneer,REMOVE_ITEM"
"remove this item,REMOVE_ITEM"
"remove item,REMOVE_ITEM"
"remove food,REMOVE_ITEM"
"remove dosa,REMOVE_ITEM"
"remove butter naan,REMOVE_ITEM"
"remove one item,REMOVE_ITEM"
"remove last item,REMOVE_ITEM"
"cancel paneer,REMOVE_ITEM"
"cancel order,REMOVE_ITEM"
"cancel this,REMOVE_ITEM"
"cancel that item,REMOVE_ITEM"
"delete item,REMOVE_ITEM"
"delete paneer,REMOVE_ITEM"
"delete dosa,REMOVE_ITEM"
"delete butter naan,REMOVE_ITEM"
"delete from cart,REMOVE_ITEM"
"take out paneer,REMOVE_ITEM"
"take this out,REMOVE_ITEM"
"i want to remove paneer,REMOVE_ITEM"
"please remove dosa,REMOVE_ITEM"
"please delete item,REMOVE_ITEM"
"can you remove this,REMOVE_ITEM"
"can you cancel paneer,REMOVE_ITEM"
"undo last item,REMOVE_ITEM"
"drop this item,REMOVE_ITEM"
"remove paner,REMOVE_ITEM"
"remove dosaa,REMOVE_ITEM"
"show my cart,SHOW_CART"
"show cart,SHOW_CART"
"open cart,SHOW_CART"
"view cart,SHOW_CART"
"check cart,SHOW_CART"
"what is in my cart,SHOW_CART"
"what's in the cart,SHOW_CART"
"list cart items,SHOW_CART"
"display cart,SHOW_CART"
"see my cart,SHOW_CART"
"tell me my cart,SHOW_CART"
"cart please,SHOW_CART"
"show order summary,SHOW_CART"
"show current order,SHOW_CART"
"what have i ordered,SHOW_CART"
"show items,SHOW_CART"
"show food list,SHOW_CART"
"view order,SHOW_CART"
"open order,SHOW_CART"
"cart details,SHOW_CART"
"place the order,CONFIRM_ORDER"
"confirm order,CONFIRM_ORDER"
"confirm my order,CONFIRM_ORDER"
"checkout,CONFIRM_ORDER"
"checkout now,CONFIRM_ORDER"
"place order now,CONFIRM_ORDER"
"yes place it,CONFIRM_ORDER"
"yes confirm it,CONFIRM_ORDER"
"ok place order,CONFIRM_ORDER"
"ok confirm order,CONFIRM_ORDER"
"done,CONFIRM_ORDER"
"proceed,CONFIRM_ORDER"
"proceed to checkout,CONFIRM_ORDER"
"finish order,CONFIRM_ORDER"
"complete order,CONFIRM_ORDER"
"submit order,CONFIRM_ORDER"
"finalize order,CONFIRM_ORDER"
"go ahead and order,CONFIRM_ORDER"
"order confirmed,CONFIRM_ORDER"
"make payment,CONFIRM_ORDER"
"pay now,CONFIRM_ORDER"
"continue,CONFIRM_ORDER"
"suggest something, SUGGEST_FOOD"
"suggest food,SUGGEST_FOOD"
"suggest something spicy,SUGGEST_FOOD"
"suggest spicy food,SUGGEST_FOOD"
"suggest something sweet,SUGGEST_FOOD"
"what do you recommend,SUGGEST_FOOD"
"recommend something,SUGGEST_FOOD"
"best dish here,SUGGEST_FOOD"
"popular dish,SUGGEST_FOOD"
"house special,SUGGEST_FOOD"
"what is good here,SUGGEST_FOOD"
"what should i eat,SUGGEST_FOOD"
"give me suggestion,SUGGEST_FOOD"
"any recommendation,SUGGEST_FOOD"
"suggest veg food,SUGGEST_FOOD"
"suggest non veg,SUGGEST_FOOD"
"suggest light food,SUGGEST_FOOD"
"suggest heavy food,SUGGEST_FOOD"
"suggest dinner,SUGGEST_FOOD"
"suggest lunch,SUGGEST_FOOD"
"what is paneer tikka,KNOWLEDGE_CHECK_QUESTION"
"what is dosa,KNOWLEDGE_CHECK_QUESTION"
"what is biryani,KNOWLEDGE_CHECK_QUESTION"
"is dosa spicy,KNOWLEDGE_CHECK_QUESTION"
"is paneer spicy,KNOWLEDGE_CHECK_QUESTION"
"is biryani spicy,KNOWLEDGE_CHECK_QUESTION"
"ingredients of biryani,KNOWLEDGE_CHECK_QUESTION"
"ingredients of dosa,KNOWLEDGE_CHECK_QUESTION"
"ingredients of paneer tikka,KNOWLEDGE_CHECK_QUESTION"
"how is butter naan made,KNOWLEDGE_CHECK_QUESTION"
"what does paneer taste like,KNOWLEDGE_CHECK_QUESTION"
"tell me about dosa,KNOWLEDGE_CHECK_QUESTION"
"tell me about biryani,KNOWLEDGE_CHECK_QUESTION"
"explain paneer tikka,KNOWLEDGE_CHECK_QUESTION"
"is this veg,KNOWLEDGE_CHECK_QUESTION"
"is this vegetarian,KNOWLEDGE_CHECK_QUESTION"
"is this vegan,KNOWLEDGE_CHECK_QUESTION"
"is it spicy or mild,KNOWLEDGE_CHECK_QUESTION"
"does it contain onion,KNOWLEDGE_CHECK_QUESTION"
"does it contain garlic,KNOWLEDGE_CHECK_QUESTION"
"hi,GREETING"
"hello there,GREETING"
"excuse me,GREETING"
"anyone available,GREETING"
"hey bot,GREETING"
"greetings,GREETING"
"howdy,GREETING"
"yo,GREETING"
"good afternoon,GREETING"
"morning,GREETING"
"good evening,GREETING"
"hello,GREETING"
"add one burger,ADD_ITEM"
"i want a pizza,ADD_ITEM"
"get me 2 coffees,ADD_ITEM"
"order the butter naan,ADD_ITEM"
"can i have a sandwich,ADD_ITEM"
"put a biryani in there,ADD_ITEM"
"add another tea,ADD_ITEM"
"i'll take a dosa,ADD_ITEM"
"make that 3 paneer dishes,ADD_ITEM"
"throw in a small cofee,ADD_ITEM"
"gimme a burger and fries,ADD_ITEM"
"i need one more pizza please,ADD_ITEM"
"i'd like a paner,ADD_ITEM"
"add 2 orders of naan,ADD_ITEM"
"get me one sandwich,ADD_ITEM"
"i'd like a dosa pls,ADD_ITEM"
"add the pizza,ADD_ITEM"
"order 4 dosas,ADD_ITEM"
"i want 3 coffees,ADD_ITEM"
"add one biriyani,ADD_ITEM"
"remove the pizza,REMOVE_ITEM"
"cancel the last item,REMOVE_ITEM"
"delete the butter naan,REMOVE_ITEM"
"take out the sandwich,REMOVE_ITEM"
"i don't want the coffee,REMOVE_ITEM"
"get rid of the dosa,REMOVE_ITEM"
"remove one burger,REMOVE_ITEM"
"oops remove the tea,REMOVE_ITEM"
"take that biryani out,REMOVE_ITEM"
"cancel my last request,REMOVE_ITEM"
"delete the coffee i just added,REMOVE_ITEM"
"remove the dosaa,REMOVE_ITEM"
"i said no burger,REMOVE_ITEM"
"undo the last item,REMOVE_ITEM"
"take off the paner,REMOVE_ITEM"
"i want to remove the pizza,REMOVE_ITEM"
"don't add the naan,REMOVE_ITEM"
"i changed my mind on the biryani,REMOVE_ITEM"
"what's in my cart,SHOW_CART"
"show me my order,SHOW_CART"
"what did i order,SHOW_CART"
"can i see my current items,SHOW_CART"
"what do i have so far,SHOW_CART"
"show cart,SHOW_CART"
"list my items,SHOW_CART"
"what's my running total,SHOW_CART"
"what have i got,SHOW_CART"
"display my order,SHOW_CART"
"check my items,SHOW_CART"
"what items are currently added,SHOW_CART"
"show what i ordered,SHOW_CART"
"view my basket,SHOW_CART"
"what's in the bag,SHOW_CART"
"i wanna see my order,SHOW_CART"
"confirm order,CONFIRM_ORDER"
"checkout now,CONFIRM_ORDER"
"place my order,CONFIRM_ORDER"
"proceed to payment,CONFIRM_ORDER"
"i'm done ordering,CONFIRM_ORDER"
"finish up,CONFIRM_ORDER"
"pay now,CONFIRM_ORDER"
"i want to checkout,CONFIRM_ORDER"
"yes place the order,CONFIRM_ORDER"
"go to payment,CONFIRM_ORDER"
"confirm it,CONFIRM_ORDER"
"send the order,CONFIRM_ORDER"
"that's all,CONFIRM_ORDER"
"ready to pay,CONFIRM_ORDER"
"proceed,CONFIRM_ORDER"
"what's good here,SUGGEST_FOOD"
"recommend a dish,SUGGEST_FOOD"
"suggest something vegetarian,SUGGEST_FOOD"
"what's your best selling item,SUGGEST_FOOD"
"i need a suggestion for dinner,SUGGEST_FOOD"
"what would you recommend,SUGGEST_FOOD"
"tell me what to eat,SUGGEST_FOOD"
"do you have any popular items,SUGGEST_FOOD"
"i like spicy food, suggest something,SUGGEST_FOOD"
"what is the chef's special,SUGGEST_FOOD"
"suggestion please,SUGGEST_FOOD"
"what should i try,SUGGEST_FOOD"
"recommend a coffee,SUGGEST_FOOD"
"what is dosa made of,KNOWLEDGE_CHECK_QUESTION"
"is the biryani very spicy,KNOWLEDGE_CHECK_QUESTION"
"what kind of paneer is it,KNOWLEDGE_CHECK_QUESTION"
"does the pizza have olives,KNOWLEDGE_CHECK_QUESTION"
"are the burgers gluten free,KNOWLEDGE_CHECK_QUESTION"
"what are the ingredients in the butter naan,KNOWLEDGE_CHECK_QUESTION"
"how strong is the coffee,KNOWLEDGE_CHECK_QUESTION"
"is the tea black or green,KNOWLEDGE_CHECK_QUESTION"
"can i see the sandwich contents,KNOWLEDGE_CHECK_QUESTION"
"what's in the biryani,KNOWLEDGE_CHECK_QUESTION"
"is the dosa crispy,KNOWLEDGE_CHECK_QUESTION"
"how is the paneer prepared,KNOWLEDGE_CHECK_QUESTION"
"does it contain nuts,KNOWLEDGE_CHECK_QUESTION"
"is this vegetarian,KNOWLEDGE_CHECK_QUESTION"
"where are you located,UNKNOWN"
"what time is it now,UNKNOWN"
"who are you,UNKNOWN"
"tell me a joke,UNKNOWN"
"i like turtles,UNKNOWN"
"can you play music,UNKNOWN"
"what's the weather like,UNKNOWN"
"how was your day,UNKNOWN"
"i need help with my homework,UNKNOWN"
"can you set a reminder,UNKNOWN"
"i feel tired,UNKNOWN"
"that is interesting,UNKNOWN"
"i need a taxi,UNKNOWN"
"hmm ok,UNKNOWN"
"ok so,UNKNOWN"
"uh,UNKNOWN"
"hello again,GREETING"
"hi there,GREETING"
"excuse me bot,GREETING"
"you available,GREETING"
"hey,GREETING"
"greetings to you,GREETING"
"yo what's up,GREETING"
"add a dosaa,ADD_ITEM"
"i want 5 butter naan,ADD_ITEM"
"get me a cofee,ADD_ITEM"
"order a pizza with extra cheese,ADD_ITEM"
"can i get a burger,ADD_ITEM"
"put one veg biryani in,ADD_ITEM"
"add another sandwich,ADD_ITEM"
"i'll take one tea,ADD_ITEM"
"make that 2 paner,ADD_ITEM"
"throw in a cold coffee,ADD_ITEM"
"gimme two naan,ADD_ITEM"
"i need a pizza,ADD_ITEM"
"i'd like the burger,ADD_ITEM"
"add 3 orders of butter naan,ADD_ITEM"
"get me a sandwich pls,ADD_ITEM"
"i'd like 2 dosas,ADD_ITEM"
"add one pizza,ADD_ITEM"
"order a dosa,ADD_ITEM"
"i want coffee,ADD_ITEM"
"add one biryani,ADD_ITEM"
"remove the burger,REMOVE_ITEM"
"cancel the paneer,REMOVE_ITEM"
"delete the coffee,REMOVE_ITEM"
"take out the pizza,REMOVE_ITEM"
"i don't want the naan anymore,REMOVE_ITEM"
"get rid of the sandwich,REMOVE_ITEM"
"remove the last one,REMOVE_ITEM"
"oops remove the dosa,REMOVE_ITEM"
"take that coffee out,REMOVE_ITEM"
"cancel the pizza i added,REMOVE_ITEM"
"delete the dosa please,REMOVE_ITEM"
"remove the paneer,REMOVE_ITEM"
"i said no naan,REMOVE_ITEM"
"undo my last choice,REMOVE_ITEM"
"take off the burger,REMOVE_ITEM"
"i want to remove the tea,REMOVE_ITEM"
"don't add the dosa,REMOVE_ITEM"
"i changed my mind on the sandwich,REMOVE_ITEM"
"what's in my current order,SHOW_CART"
"show me what i got,SHOW_CART"
"what did i put in the basket,SHOW_CART"
"can i see my items list,SHOW_CART"
"what do i have to pay for,SHOW_CART"
"show me the items,SHOW_CART"
"list everything,SHOW_CART"
"what's the current cost,SHOW_CART"
"what have i ordered so far,SHOW_CART"
"display the food i ordered,SHOW_CART"
"check my basket,SHOW_CART"
"what items are in the cart,SHOW_CART"
"show what's in the order,SHOW_CART"
"view my current items,SHOW_CART"
"what's in the order now,SHOW_CART"
"i wanna check my order,SHOW_CART"
"confirm this order,CONFIRM_ORDER"
"checkout please,CONFIRM_ORDER"
"i'm ready to place my order,CONFIRM_ORDER"
"proceed to checkout,CONFIRM_ORDER"
"i'm finished ordering,CONFIRM_ORDER"
"finalise the order,CONFIRM_ORDER"
"i want to pay,CONFIRM_ORDER"
"i want to confirm,CONFIRM_ORDER"
"yes send the order,CONFIRM_ORDER"
"go to payment screen,CONFIRM_ORDER"
"confirm my order,CONFIRM_ORDER"
"send it,CONFIRM_ORDER"
"i'm done,CONFIRM_ORDER"
"ready to proceed,CONFIRM_ORDER"
"finalize,CONFIRM_ORDER"
"suggest a good appetizer,SUGGEST_FOOD"
"recommend something non-veg,SUGGEST_FOOD"
"suggest a mild dish,SUGGEST_FOOD"
"what's popular right now,SUGGEST_FOOD"
"i need a suggestion for lunch,SUGGEST_FOOD"
"what are your recommendations,SUGGEST_FOOD"
"tell me the best seller,SUGGEST_FOOD"
"do you have any signature dishes,SUGGEST_FOOD"
"i'm hungry, suggest something,SUGGEST_FOOD"
"what's the most recommended item,SUGGEST_FOOD"
"give me a suggestion,SUGGEST_FOOD"
"i'm feeling adventurous,SUGGEST_FOOD"
"recommend a dessert,SUGGEST_FOOD"
"is the coffee hot or cold,KNOWLEDGE_CHECK_QUESTION"
"does the sandwich have meat,KNOWLEDGE_CHECK_QUESTION"
"what are the ingredients in the pizza,KNOWLEDGE_CHECK_QUESTION"
"is the dosa fried,KNOWLEDGE_CHECK_QUESTION"
"what is paner,KNOWLEDGE_CHECK_QUESTION"
"are there eggs in the burger,KNOWLEDGE_CHECK_QUESTION"
"what spices are in the biryani,KNOWLEDGE_CHECK_QUESTION"
"is the butter naan vegan,KNOWLEDGE_CHECK_QUESTION"
"can i see the allergens list,KNOWLEDGE_CHECK_QUESTION"
"what's in the tea,KNOWLEDGE_CHECK_QUESTION"
"is the paneer creamy,KNOWLEDGE_CHECK_QUESTION"
"how long does the dosa take to make,KNOWLEDGE_CHECK_QUESTION"
"does it contain dairy,KNOWLEDGE_CHECK_QUESTION"
"is this a drink,KNOWLEDGE_CHECK_QUESTION"
"how old are you,UNKNOWN"
"what is your name,UNKNOWN"
"i am bored,UNKNOWN"
"tell me about yourself,UNKNOWN"
"i need a new phone,UNKNOWN"
"can you check my email,UNKNOWN"
"what's the capital of france,UNKNOWN"
"i hate this,UNKNOWN"
"can you call my friend,UNKNOWN"
"i'm going home,UNKNOWN"
"that is not right,UNKNOWN"
"i need directions,UNKNOWN"
"can you book a flight,UNKNOWN"
"hmm,UNKNOWN"
"uh huh,UNKNOWN"
"add one more butter naan,ADD_ITEM"
"i want two biryani,ADD_ITEM"
"can i get a dosaa,ADD_ITEM"
"remove the dosa i just ordered,REMOVE_ITEM"
"cancel the biriyani,REMOVE_ITEM"
"what have i ordered currently,SHOW_CART"
"i'm ready to pay now,CONFIRM_ORDER"
"what do you suggest for a snack,SUGGEST_FOOD"
"is the burger big,KNOWLEDGE_CHECK_QUESTION"
"where did you learn to speak,UNKNOWN"
"hi there bot,GREETING"
"i'll take a tea,ADD_ITEM"
"remove the tea,REMOVE_ITEM"
"can i see the total,SHOW_CART"
"let's checkout,CONFIRM_ORDER"
"what's your best soup,SUGGEST_FOOD"
"is the coffee decaf,KNOWLEDGE_CHECK_QUESTION"
"i need a nap,UNKNOWN"
"hey you,GREETING"
"add one more paner,ADD_ITEM"
"delete the paner,REMOVE_ITEM"
"what's my bill,SHOW_CART"
"send the order through,CONFIRM_ORDER"
"recommend something sweet,SUGGEST_FOOD"
"what oil is the dosa cooked in,KNOWLEDGE_CHECK_QUESTION"
"i don't understand,UNKNOWN"
"hello?,GREETING"
"i'd like a pizza,ADD_ITEM"
"oops remove the pizza,REMOVE_ITEM"
"how much is it,SHOW_CART"
"i want to confirm,CONFIRM_ORDER"
"suggest a good combo,SUGGEST_FOOD"
"is the naan whole wheat,KNOWLEDGE_CHECK_QUESTION"
"can you change the temperature,UNKNOWN"
"hi there,GREETING"
"yo,ADD_ITEM"
"remove the burger i just added,REMOVE_ITEM"
"what's in my cart,SHOW_CART"
"lets do this,CONFIRM_ORDER"
"what do you recommend,SUGGEST_FOOD"
"is paneer gluten free,KNOWLEDGE_CHECK_QUESTION"
"what's the weather like,UNKNOWN"
"hello,GREETING"
"add 1 cofee pls,ADD_ITEM"
"cancel my pizza,REMOVE_ITEM"
"show order,SHOW_CART"
"i'm ready to pay,CONFIRM_ORDER"
"suggest something light,SUGGEST_FOOD"
"whats in biryani,KNOWLEDGE_CHECK_QUESTION"
"tell me a joke,UNKNOWN"
"hey,GREETING"
"get me a sandwch,ADD_ITEM"
"delete the tea,REMOVE_ITEM"
"what did i order,SHOW_CART"
"proceed to checkout,CONFIRM_ORDER"
"what's popular,SUGGEST_FOOD"
"is the dosa crispy,KNOWLEDGE_CHECK_QUESTION"
"how old are you,UNKNOWN"
"good morning,GREETING"
"i'll have a paneer dish,ADD_ITEM"
"take off the last item,REMOVE_ITEM"
"can i see my cart,SHOW_CART"
"place order,CONFIRM_ORDER"
"recommend a dessert,SUGGEST_FOOD"
"does this have nuts,KNOWLEDGE_CHECK_QUESTION"
"where is the restaurant located,UNKNOWN"
"excuse me,GREETING"
"order 2 butter naan,ADD_ITEM"
"remove the extra dosa,REMOVE_ITEM"
"my cart please,SHOW_CART"
"confirm order,CONFIRM_ORDER"
"i want something cheesy,SUGGEST_FOOD"
"how spicy is the curry,KNOWLEDGE_CHECK_QUESTION"
"what time is it,UNKNOWN"
"hiya,GREETING"
"add pizzza,ADD_ITEM"
"scratch the coffee,REMOVE_ITEM"
"what's in there,SHOW_CART"
"checkout,CONFIRM_ORDER"
"any good combos,SUGGEST_FOOD"
"what is paner made of,KNOWLEDGE_CHECK_QUESTION"
"who made you,UNKNOWN"
"hello?,GREETING"
"can i get a chai,ADD_ITEM"
"undo the burger,REMOVE_ITEM"
"show my stuff,SHOW_CART"
"ok finalize it,CONFIRM_ORDER"
"feeling hungry what's good,SUGGEST_FOOD"
"is it vegan,KNOWLEDGE_CHECK_QUESTION"
"hmm ok,UNKNOWN"
"sup,GREETING"
"put in a biryani,ADD_ITEM"
"get rid of the sandwich,REMOVE_ITEM"
"review cart,SHOW_CART"
"go ahead and place it,CONFIRM_ORDER"
"suggest a drink,SUGGEST_FOOD"
"calories in that,KNOWLEDGE_CHECK_QUESTION"
"i like your name,UNKNOWN"
"hey there,GREETING"
"need a cuppa tea,ADD_ITEM"
"i changed my mind remove the naan,REMOVE_ITEM"
"what have i got,SHOW_CART"
"yes order now,CONFIRM_ORDER"
"what should i try,SUGGEST_FOOD"
"is there dairy,KNOWLEDGE_CHECK_QUESTION"
"how's your day,UNKNOWN"
"good evening,GREETING"
"gimme a burger,ADD_ITEM"
"cancel that last add,REMOVE_ITEM"
"can you list my order,SHOW_CART"
"pay now,CONFIRM_ORDER"
"im new here what's good,SUGGEST_FOOD"
"allergen info,KNOWLEDGE_CHECK_QUESTION"
"what's your purpose,UNKNOWN"
"hi,GREETING"
"add one dosaa please,ADD_ITEM"
"remove item number 2,REMOVE_ITEM"
"show summary,SHOW_CART"
"lock it in,CONFIRM_ORDER"
"something spicy pls,SUGGEST_FOOD"
"how big is the portion,KNOWLEDGE_CHECK_QUESTION"
"are you human,UNKNOWN"
"greetings,GREETING"
"i'd like a coffee,ADD_ITEM"
"take out the paneer,REMOVE_ITEM"
"what's selected,SHOW_CART"
"i confirm,CONFIRM_ORDER"
"recommendations,SUGGEST_FOOD"
"is biryani very hot,KNOWLEDGE_CHECK_QUESTION"
"what is the meaning of life,UNKNOWN"
"yo,GREETING"
"order paneer tikka,ADD_ITEM"
"delete,REMOVE_ITEM"
"my current order,SHOW_CART"
"finish ordering,CONFIRM_ORDER"
"hit me with a suggestion,SUGGEST_FOOD"
"whats the base of the sauce,KNOWLEDGE_CHECK_QUESTION"
"sing a song,UNKNOWN"
"hi,GREETING"
"get me 2 coffees,ADD_ITEM"
"nevermind on the pizza,REMOVE_ITEM"
"display cart,SHOW_CART"
"proceed,CONFIRM_ORDER"
"what do people usually get,SUGGEST_FOOD"
"ingredients list,KNOWLEDGE_CHECK_QUESTION"
"how are you,UNKNOWN"
"hello hello,GREETING"
"add a sandwitch,ADD_ITEM"
"i dont want that burger anymore,REMOVE_ITEM"
"can i review,SHOW_CART"
"place the order please,CONFIRM_ORDER"
"i need ideas,SUGGEST_FOOD"
"is this halal,KNOWLEDGE_CHECK_QUESTION"
"where do you live,UNKNOWN"
"hey,GREETING"
"pls add biryani,ADD_ITEM"
"remove the extra coffee,REMOVE_ITEM"
"what's my total,SHOW_CART"
"ok buy,CONFIRM_ORDER"
"suggest a meal,SUGGEST_FOOD"
"is it fresh,KNOWLEDGE_CHECK_QUESTION"
"what day is it,UNKNOWN"
"hi there,GREETING"
"cofee black,ADD_ITEM"
"cancel the dosa order,REMOVE_ITEM"
"show me,SHOW_CART"
"go to payment,CONFIRM_ORDER"
"what's your specialty,SUGGEST_FOOD"
"how much sugar,KNOWLEDGE_CHECK_QUESTION"
"who is your boss,UNKNOWN"
"morning,GREETING"
"one masala dosa,ADD_ITEM"
"undo add,REMOVE_ITEM"
"list items,SHOW_CART"
"confirm,CONFIRM_ORDER"
"i cant decide help,SUGGEST_FOOD"
"is paneer like cheese,KNOWLEDGE_CHECK_QUESTION"
"what's up,UNKNOWN"
"hola,GREETING"
"add paner butter masala,ADD_ITEM"
"remove that last thing,REMOVE_ITEM"
"current cart status,SHOW_CART"
"i'm done,CONFIRM_ORDER"
"surprise me,SUGGEST_FOOD"
"cooking time,KNOWLEDGE_CHECK_QUESTION"
"tell me a story,UNKNOWN"
"greetings,GREETING"
"tea with milk,ADD_ITEM"
"take off the sandwich,REMOVE_ITEM"
"what do i have so far,SHOW_CART"
"complete order,CONFIRM_ORDER"
"any must-try items,SUGGEST_FOOD"
"is it organic,KNOWLEDGE_CHECK_QUESTION"
"do you have feelings,UNKNOWN"
"hey you,GREETING"
"order 3 naans,ADD_ITEM"
"scratch that,REMOVE_ITEM"
"view cart,SHOW_CART"
"submit order,CONFIRM_ORDER"
"whats tasty here,SUGGEST_FOOD"
"contains onion garlic,KNOWLEDGE_CHECK_QUESTION"
"what's your name,UNKNOWN"
"hi,GREETING"
"burger no onions,ADD_ITEM"
"i want to remove the biryani,REMOVE_ITEM"
"show everything,SHOW_CART"
"lets checkout,CONFIRM_ORDER"
"recommend something fast,SUGGEST_FOOD"
"how is paneer made,KNOWLEDGE_CHECK_QUESTION"
"what language are you,UNKNOWN"
"hello,GREETING"
"get a pizza margherita,ADD_ITEM"
"delete my last selection,REMOVE_ITEM"
"can you tell me my order,SHOW_CART"
"ok place it,CONFIRM_ORDER"
"feeling adventurous,SUGGEST_FOOD"
"is it high protein,KNOWLEDGE_CHECK_QUESTION"
"are we friends,UNKNOWN"
"yo,GREETING"
"chai add,ADD_ITEM"
"remove the added coffee,REMOVE_ITEM"
"whats in the bag,SHOW_CART"
"finalize,CONFIRM_ORDER"
"i need a recommendation,SUGGEST_FOOD"
"what kind of rice in biryani,KNOWLEDGE_CHECK_QUESTION"
"what color is the sky,UNKNOWN"
"good day,GREETING"
"i'll take a sandwich,ADD_ITEM"
"cancel all,REMOVE_ITEM"
"order summary,SHOW_CART"
"i'm ready,CONFIRM_ORDER"
"what's the best seller,SUGGEST_FOOD"
"is there meat in that,KNOWLEDGE_CHECK_QUESTION"
"how do i exit,UNKNOWN"
"hey,GREETING"
"add 1 biryani and 1 naan,ADD_ITEM"
"please remove the tea,REMOVE_ITEM"
"show my cart items,SHOW_CART"
"confirm and pay,CONFIRM_ORDER"
"give me a top pick,SUGGEST_FOOD"
"spice level 1-10,KNOWLEDGE_CHECK_QUESTION"
"what's the capital of france,UNKNOWN"
"hi,GREETING"
"cofee to go,ADD_ITEM"
"take back the burger,REMOVE_ITEM"
"what have i chosen,SHOW_CART"
"process order,CONFIRM_ORDER"
"what would you get,SUGGEST_FOOD"
"is dosa fermented,KNOWLEDGE_CHECK_QUESTION"
"who is the president,UNKNOWN"
"hello there,GREETING"
"paneer pls,ADD_ITEM"
"i need to cancel the pizza,REMOVE_ITEM"
"show me the list,SHOW_CART"
"go for it,CONFIRM_ORDER"
"suggest a veg option,SUGGEST_FOOD"
"any common allergens,KNOWLEDGE_CHECK_QUESTION"
"can you dance,UNKNOWN"
"sup,GREETING"
"dosaa with sambar,ADD_ITEM"
"remove item #1,REMOVE_ITEM"
"my order details,SHOW_CART"
"buy now,CONFIRM_ORDER"
"i want a recommendation,SUGGEST_FOOD"
"whats paneer,KNOWLEDGE_CHECK_QUESTION"
"what is love,UNKNOWN"
"hey,GREETING"
"two teas,ADD_ITEM"
"forget the last addition,REMOVE_ITEM"
"whats ordered,SHOW_CART"
"order confirmed,CONFIRM_ORDER"
"hit me with a popular dish,SUGGEST_FOOD"
